科目代碼,會計科目,日期,傳票號碼,種類,摘要,本幣借方金額,本幣貸方金額,借貸,餘額,幣別,匯率,原幣借方金額,原幣貸方金額
1290,進項稅額 ,2024/01/02,11201020001,3,,134900.0,0,借,1349.0,CNY,4.349,31018.62,0.0
1290,進項稅額 ,2024/01/02,11201020002,3,,28200.0,0,借,1631.0,USD,30.915,912.18,0.0
1290,進項稅額 ,2024/01/02,11201020003,3,,6630000.0,0,借,67931.0,USD,30.915,214459.0,0.0
1470,未完工程及待驗設備 ,2024/01/02,11201020003,3,製程控制盤及相關設備製 作( 訂金30%) ,132600000.0,0,借,142422116.0,USD,30.915,4289180.01,0.0
2120,應付票據 ,2024/01/02,11201020001,3,4/30FA6528670(富月) ,0.0,"2,832,900",貸,28329.0,CNY,4.349,0.0,651391.12
2120,應付票據 ,2024/01/02,11201020002,3,4/30FA6528673(益風) ,0.0,"592,200",貸,34251.0,USD,30.915,0.0,19155.75
2120,應付票據 ,2024/01/02,11201020003,3,3/31FA6528651(金元彬) ,0.0,"139,230,000",貸,1426551.0,USD,30.915,0.0,4503639.01
5300,物料進料 ,2024/01/25,11201250001,3,鐵板.扁鐵等 ,22544200.0,0,借,225442.0,USD,31.36,620372.5,0.0
5300,物料進料 ,2024/02/23,11202250001,3,鐵板.角鐵等 ,17232900.0,0,借,397771.0,USD,31.605,18243.57,0.0
1110,銀行存款 ,2024/01/04,11201040001,3,合庫-雙和(乙存) ,0.0,"53,574,000",借,9253480.0,CNY,4.356,0.0,12298898.07
1110,銀行存款 ,2024/01/04,11201040002,3,合庫-雙和 ,0.0,"68,039,300",借,8573087.0,USD,31.045,0.0,2191634.72
2115,銀行借款 ,2024/01/04,11201040001,3,信保還款 ,9455300.0,0,貸,142187028.0,CNY,4.356,2170638.2,0.0
2115,銀行借款 ,2024/01/04,11201040001,3,信保還款 ,37820300.0,0,貸,141808825.0,CNY,4.356,8682346.19,0.0
2160,其他應付款 ,2024/01/04,11201040002,3,沖107年12月薪資等 ,68039300.0,0,貸,3959896.0,USD,31.045,2191634.72,0.0
8010,利息支出 ,2024/01/04,11201040001,3,信保基金 ,1259700.0,0,借,12597.0,CNY,4.356,289187.33,0.0
8010,利息支出 ,2024/01/04,11201040001,3,信保基金 ,5038700.0,0,借,62984.0,CNY,4.356,1156726.35,0.0
1290,進項稅額 ,2024/01/08,11201070001,3,,12800.0,0,借,68059.0,USD,31.045,412.3,0.0
